0
Subcortical Volume (aseg.stats) of LeftAmygdala
Thickness Average (aparc.stats) of LeftParacentral
Surface Area (aparc.stats) of LeftPrecuneus
Thickness Average (aparc.stats) of RightPosteriorCingulate
Surface Area (aparc.stats) of LeftHemisphereWM
Surface Area (aparc.stats) of RightBankssts
Surface Area (aparc.stats) of RightParsTriangularis
Thickness Average (aparc.stats) of LeftPrecentral
Cortical Volume (aparc.stats) of RightTemporalPole
Cortical Volume (aparc.stats) of LeftEntorhinal
Subcortical Volume (aseg.stats) of CorpusCallosumCentral
Thickness Average (aparc.stats) of RightSuperiorFrontal
Surface Area (aparc.stats) of RightTemporalPole
Cortical Volume (aparc.stats) of LeftInferiorTemporal
Surface Area (aparc.stats) of RightParsOpercularis
Cortical Volume (aparc.stats) of LeftInsula
Surface Area (aparc.stats) of RightCaudalMiddleFrontal
Surface Area (aparc.stats) of RightPrecentral
Thickness Average (aparc.stats) of LeftInferiorTemporal
Thickness Average (aparc.stats) of LeftIsthmusCingulate
Cortical Volume (aparc.stats) of RightParsOrbitalis
Subcortical Volume (aseg.stats) of RightCaudate
Subcortical Volume (aseg.stats) of LeftAccumbensArea
Surface Area (aparc.stats) of RightRostralMiddleFrontal
Thickness Stardard Deviation (aparc.stats) of RightPrecuneus
Surface Area (aparc.stats) of LeftTemporalPole
Thickness Average (aparc.stats) of RightParsOpercularis
Subcortical Volume (aseg.stats) of LeftVentralDC
Cortical Volume (aparc.stats) of LeftPrecentral
Cortical Volume (aparc.stats) of LeftParsOrbitalis
Thickness Average (aparc.stats) of LeftMedialOrbitofrontal
Surface Area (aparc.stats) of RightMiddleTemporal
Cortical Volume (aparc.stats) of RightSuperiorTemporal
Thickness Average (aparc.stats) of RightInferiorTemporal
Subcortical Volume (aseg.stats) of RightAccumbensArea
Thickness Average (aparc.stats) of LeftParsTriangularis
Subcortical Volume (aseg.stats) of SubcorticalGM
Surface Area (aparc.stats) of LeftSuperiorFrontal
LateralVentricle_L
Surface Area (aparc.stats) of LeftFrontalPole
Thickness Average (aparc.stats) of LeftCaudalAnteriorCingulate
Cortical Volume (aparc.stats) of RightParsTriangularis
Thickness Stardard Deviation (aparc.stats) of LeftEntorhinal
Subcortical Volume (aseg.stats) of RightCerebellumWM
Thickness Average (aparc.stats) of RightSuperiorTemporal
Subcortical Volume (aseg.stats) of RightLateralVentricle
Thickness Average (aparc.stats) of LeftRostralAnteriorCingulate
Surface Area (aparc.stats) of LeftLateralOrbitofrontal
Thickness Stardard Deviation (aparc.stats) of LeftPrecuneus
Cortical Volume (aparc.stats) of RightRostralMiddleFrontal
Thickness Average (aparc.stats) of LeftTemporalPole
Thickness Average (aparc.stats) of RightEntorhinal
Cortical Volume (aparc.stats) of LeftSuperiorTemporal
Subcortical Volume (aseg.stats) of LeftThalamus
Thickness Average (aparc.stats) of RightParsTriangularis
Cortical Volume (aparc.stats) of RightPrecentral
Surface Area (aparc.stats) of LeftParahippocampal
Cortical Volume (aparc.stats) of LeftBankssts
Cortical Volume (aparc.stats) of RightCaudalAnteriorCingulate
Subcortical Volume (aseg.stats) of WMHypoIntensities
Thickness Average (aparc.stats) of LeftLateralOrbitofrontal
Subcortical Volume (aseg.stats) of LeftCerebellumWM
Surface Area (aparc.stats) of RightFrontalPole
Cortical Volume (aparc.stats) of LeftTemporalPole
Thickness Average (aparc.stats) of LeftPrecuneus
Surface Area (aparc.stats) of LeftParsTriangularis
Thickness Average (aparc.stats) of LeftRostralMiddleFrontal
Parahippocampal_R
Cortical Volume (aparc.stats) of LeftSuperiorFrontal
Cortical Volume (aparc.stats) of RightPosteriorCingulate
Subcortical Volume (aseg.stats) of OpticChiasm
Surface Area (aparc.stats) of RightParsOrbitalis
Surface Area (aparc.stats) of LeftPrecentral
Cortical Volume (aparc.stats) of RightTransverseTemporal
Surface Area (aparc.stats) of RightTransverseTemporal
Thickness Average (aparc.stats) of LeftCaudalMiddleFrontal
Cortical Volume (aparc.stats) of LeftRostralAnteriorCingulate
Subcortical Volume (aseg.stats) of LeftCerebellumCortex
Subcortical Volume (aseg.stats) of RightChoroidPlexus
Thickness Average (aparc.stats) of LeftPosteriorCingulate
Subcortical Volume (aseg.stats) of RightThalamus
Thickness Stardard Deviation (aparc.stats) of RightPosteriorCingulate
Thickness Average (aparc.stats) of LeftEntorhinal
Hippocampus_L
Subcortical Volume (aseg.stats) of ThirdVentricle
Subcortical Volume (aseg.stats) of LeftPutamen
Surface Area (aparc.stats) of RightSuperiorFrontal
Cortical Volume (aparc.stats) of RightInferiorTemporal
Surface Area (aparc.stats) of RightIsthmusCingulate
Surface Area (aparc.stats) of LeftPosteriorCingulate
Thickness Average (aparc.stats) of LeftParsOpercularis
Surface Area (aparc.stats) of LeftEntorhinal
Thickness Average (aparc.stats) of RightPrecuneus
Thickness Average (aparc.stats) of LeftTransverseTemporal
Cortical Volume (aparc.stats) of RightSuperiorFrontal
Thickness Average (aparc.stats) of RightParsOrbitalis
Subcortical Volume (aseg.stats) of RightVentralDC
Cortical Volume (aparc.stats) of LeftIsthmusCingulate
Thickness Average (aparc.stats) of RightFrontalPole
Subcortical Volume (aseg.stats) of LeftPallidum
Thickness Stardard Deviation (aparc.stats) of LeftParahippocampal
Surface Area (aparc.stats) of RightInferiorTemporal
Cortical Volume (aparc.stats) of RightFrontalPole
Thickness Average (aparc.stats) of LeftInsula
Surface Area (aparc.stats) of RightPrecuneus
Thickness Average (aparc.stats) of RightInsula
Thickness Average (aparc.stats) of RightPrecentral
Surface Area (aparc.stats) of LeftCaudalMiddleFrontal
Cortical Volume (aparc.stats) of LeftParsOpercularis
Cortical Volume (aparc.stats) of RightRostralAnteriorCingulate
Subcortical Volume (aseg.stats) of LeftCaudate
Surface Area (aparc.stats) of LeftBankssts
Cortical Volume (aparc.stats) of LeftMedialOrbitofrontal
Surface Area (aparc.stats) of LeftCaudalAnteriorCingulate
Cortical Volume (aparc.stats) of LeftCaudalMiddleFrontal
Subcortical Volume (aseg.stats) of LeftCorticalWM
Cortical Volume (aparc.stats) of RightPrecuneus
Thickness Stardard Deviation (aparc.stats) of RightParahippocampal
Thickness Average (aparc.stats) of RightRostralAnteriorCingulate
Cortical Volume (aparc.stats) of LeftRostralMiddleFrontal
Subcortical Volume (aseg.stats) of CorticalGM
Surface Area (aparc.stats) of RightEntorhinal
Surface Area (aparc.stats) of LeftParsOrbitalis
Surface Area (aparc.stats) of LeftParsOpercularis
Subcortical Volume (aseg.stats) of Csf
Subcortical Volume (aseg.stats) of CorpusCallosumMidAnterior
Subcortical Volume (aseg.stats) of RightAmygdala
Thickness Average (aparc.stats) of LeftBankssts
Cortical Volume (aparc.stats) of LeftPrecuneus
Thickness Average (aparc.stats) of LeftSuperiorFrontal
Surface Area (aparc.stats) of LeftSuperiorTemporal
Subcortical Volume (aseg.stats) of LeftLateralVentricle
